decision_id,table_id,table_word_row,crop_use,crop_family,application_rate,planting_method,scenario,taxon,effect_window,receptor_size,current_position,trace_ids,evidence,interpretation,judgment,apparent_primary_rationale,evidence_to_conclusion_consistency,consideration_ids,peer_review_question_ids,quantitative_sources,narrative_sources,traceability_status,related_existing_finding_trc_xrf_ids,notes
T162-D0001,TABLES:Table 162; TABLES-T0236,4,"Small cereals (barley, buck wheat, millet (pearl and proso), rye, sorghum, triticale and wheat)",Small Cereals,100 mg a.i./kg seed,Spring drill,"Crop-specific 0.5-6.4 cm depth; surface assumption varies by spring drill, fall drill and broadcast",Bird,Acute,Small,Y,TRACE-BIRD-CROP007-S,"For this 100 mg a.i./kg seed, Spring drill scenario, the assessment reports that at 300 mg/kg and 100% treated-seed diet, EDE remains above 43.1 mg/kg bw/d for about 8 days and above 67 for about 2 days, but not above 104; lower rates and realistic dietary fractions reduce exposure.","The narrative weighs quantitative magnitude/duration against planting-method availability, plausible dietary fraction and population context; it treats large-bird acute exposure and lower-rate/realistic-diet cases as less concerning.",Determine whether modeled acute magnitude and encounter likelihood together make individual effects sufficiently plausible to matter at the population level.,MULTIPLE_LINES: magnitude; duration; planting-method availability; dietary plausibility; population context,GENERALLY_SUPPORTED_WITH_QUALIFICATIONS,T162-C0051; T162-C0103; T162-C0104; T162-C0105; T162-C0106,T162-Q0051,TABLES:Tables 21-29,MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECORDED_QUALIFICATIONS,TRC-001; CAL-001; CAL-002; CON-002,Current-visible draft used: normal text and tracked insertions included; tracked deletions excluded. Word comments are working context only and are not evidence.
T162-D0002,TABLES:Table 162; TABLES-T0236,4,"Small cereals (barley, buck wheat, millet (pearl and proso), rye, sorghum, triticale and wheat)",Small Cereals,100 mg a.i./kg seed,Spring drill,"Crop-specific 0.5-6.4 cm depth; surface assumption varies by spring drill, fall drill and broadcast",Bird,Acute,Medium,Y,TRACE-BIRD-CROP007-M,"For this 100 mg a.i./kg seed, Spring drill scenario, at 300 mg/kg and 100% treated-seed diet, EDE remains above 43.1 mg/kg bw/d for about 5 days; availability and dietary fraction are the main refinements.","The narrative weighs quantitative magnitude/duration against planting-method availability, plausible dietary fraction and population context; it treats large-bird acute exposure and lower-rate/realistic-diet cases as less concerning.",Determine whether modeled acute magnitude and encounter likelihood together make individual effects sufficiently plausible to matter at the population level.,MULTIPLE_LINES: magnitude; duration; planting-method availability; dietary plausibility; population context,GENERALLY_SUPPORTED_WITH_QUALIFICATIONS,T162-C0050; T162-C0103; T162-C0104; T162-C0105; T162-C0106,T162-Q0050,TABLES:Tables 21-29,MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECORDED_QUALIFICATIONS,TRC-001; CAL-001; CAL-002; CON-002,Current-visible draft used: normal text and tracked insertions included; tracked deletions excluded. Word comments are working context only and are not evidence.
T162-D0003,TABLES:Table 162; TABLES-T0236,4,"Small cereals (barley, buck wheat, millet (pearl and proso), rye, sorghum, triticale and wheat)",Small Cereals,100 mg a.i./kg seed,Spring drill,"Crop-specific 0.5-6.4 cm depth; surface assumption varies by spring drill, fall drill and broadcast",Bird,Acute,Large,Y,TRACE-BIRD-CROP007-L,"For this 100 mg a.i./kg seed, Spring drill scenario, the assessment states the acute screening result is acceptable for large birds across the Small Cereals uses.","The narrative weighs quantitative magnitude/duration against planting-method availability, plausible dietary fraction and population context; it treats large-bird acute exposure and lower-rate/realistic-diet cases as less concerning.",Determine whether modeled acute magnitude and encounter likelihood together make individual effects sufficiently plausible to matter at the population level.,MULTIPLE_LINES: magnitude; duration; planting-method availability; dietary plausibility; population context,GENERALLY_SUPPORTED_WITH_QUALIFICATIONS,T162-C0049; T162-C0103; T162-C0104; T162-C0105; T162-C0106,T162-Q0049,TABLES:Tables 21-29,MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECORDED_QUALIFICATIONS,TRC-001; CAL-001; CAL-002; CON-002,Current-visible draft used: normal text and tracked insertions included; tracked deletions excluded. Word comments are working context only and are not evidence.
T162-D0004,TABLES:Table 162; TABLES-T0236,4,"Small cereals (barley, buck wheat, millet (pearl and proso), rye, sorghum, triticale and wheat)",Small Cereals,100 mg a.i./kg seed,Spring drill,"Crop-specific 0.5-6.4 cm depth; surface assumption varies by spring drill, fall drill and broadcast",Bird,Chronic,Small,Y,TRACE-BIRD-CROP007-S,"For this 100 mg a.i./kg seed, Spring drill scenario, at 300/200 mg/kg and 100% diet, 7.78 mg/kg bw/d is exceeded for about 33/27 days and 10.8 for 28/22 days; at 25% diet the 7.78 durations are about 13/7 days. At 100 mg/kg, duration is about 17 days at 100%, 7 at 50%, and zero at 25%.","The narrative weighs quantitative magnitude/duration against planting-method availability, plausible dietary fraction and population context; it treats large-bird acute exposure and lower-rate/realistic-diet cases as less concerning.","Determine whether the magnitude and duration of modeled exceedance, at a plausible dietary fraction and availability, are sufficient to imply a non-negligible population consequence.",MULTIPLE_LINES: magnitude; duration; planting-method availability; dietary plausibility; population context,GENERALLY_SUPPORTED_WITH_QUALIFICATIONS,T162-C0054; T162-C0103; T162-C0104; T162-C0105; T162-C0106,T162-Q0054,TABLES:Tables 21-29,MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECORDED_QUALIFICATIONS,TRC-001; CAL-001; CAL-002; CON-002,Current-visible draft used: normal text and tracked insertions included; tracked deletions excluded. Word comments are working context only and are not evidence.
T162-D0005,TABLES:Table 162; TABLES-T0236,4,"Small cereals (barley, buck wheat, millet (pearl and proso), rye, sorghum, triticale and wheat)",Small Cereals,100 mg a.i./kg seed,Spring drill,"Crop-specific 0.5-6.4 cm depth; surface assumption varies by spring drill, fall drill and broadcast",Bird,Chronic,Medium,Y,TRACE-BIRD-CROP007-M,"For this 100 mg a.i./kg seed, Spring drill scenario, at 300/200 mg/kg and 100% diet, the 7.78 mg/kg bw/d duration is about 29/24 days; the narrative's '20%' statement conflicts with the 25% table column.","The narrative weighs quantitative magnitude/duration against planting-method availability, plausible dietary fraction and population context; it treats large-bird acute exposure and lower-rate/realistic-diet cases as less concerning.","Determine whether the magnitude and duration of modeled exceedance, at a plausible dietary fraction and availability, are sufficient to imply a non-negligible population consequence.",MULTIPLE_LINES: magnitude; duration; planting-method availability; dietary plausibility; population context,PARTIALLY_SUPPORTED,T162-C0053; T162-C0103; T162-C0104; T162-C0105; T162-C0106,T162-Q0053,TABLES:Tables 21-29,MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECORDED_QUALIFICATIONS,TRC-001; CAL-001; CAL-002; CON-002; CON-003,Current-visible draft used: normal text and tracked insertions included; tracked deletions excluded. Word comments are working context only and are not evidence.
T162-D0006,TABLES:Table 162; TABLES-T0236,4,"Small cereals (barley, buck wheat, millet (pearl and proso), rye, sorghum, triticale and wheat)",Small Cereals,100 mg a.i./kg seed,Spring drill,"Crop-specific 0.5-6.4 cm depth; surface assumption varies by spring drill, fall drill and broadcast",Bird,Chronic,Large,Y,TRACE-BIRD-CROP007-L,"For this 100 mg a.i./kg seed, Spring drill scenario, at 300/200 mg/kg and 100% diet, the large-bird 7.78 mg/kg bw/d duration is about 12/6 days; at 50% it is about 2/0 days.","The narrative weighs quantitative magnitude/duration against planting-method availability, plausible dietary fraction and population context; it treats large-bird acute exposure and lower-rate/realistic-diet cases as less concerning.","Determine whether the magnitude and duration of modeled exceedance, at a plausible dietary fraction and availability, are sufficient to imply a non-negligible population consequence.",MULTIPLE_LINES: magnitude; duration; planting-method availability; dietary plausibility; population context,GENERALLY_SUPPORTED_WITH_QUALIFICATIONS,T162-C0052; T162-C0103; T162-C0104; T162-C0105; T162-C0106,T162-Q0052,TABLES:Tables 21-29,MAIN-H0033; MAIN-H0034; MAIN-H0035; MAIN-H0036; MAIN-P000432; MAIN-P000458; MAIN-P000463; MAIN-P000468; MAIN-P000471; MAIN-P000478; MAIN-P000483; MAIN-P000486; MAIN-P000493; MAIN-P000499,TRACEABLE_WITH_RECORDED_QUALIFICATIONS,TRC-001; CAL-001; CAL-002; CON-002,Current-visible draft used: normal text and tracked insertions included; tracked deletions excluded. Word comments are working context only and are not evidence.
T162-D0007,TABLES:Table 162; TABLES-T0236,4,"Small cereals (barley, buck wheat, millet (pearl and proso), rye, sorghum, triticale and wheat)",Small Cereals,100 mg a.i./kg seed,Spring drill,"Crop-specific 0.5-6.4 cm depth; surface assumption varies by spring drill, fall drill and broadcast",Mammal,Acute,Small,Y,TRACE-MAMMAL-CROP007-S,"For this 100 mg a.i./kg seed, Spring drill scenario, the assessment reports acceptable acute screening for all three mammal sizes; burial and mixed diet further reduce the all-seed-available exposure estimate.","The narrative characterizes acute mortality and non-negligible population effects as unlikely, emphasizing mixed diet, burial and EDE below the 50 mg/kg bw/d apical-effect context despite chronic-reference exceedance.",Determine whether modeled acute magnitude and encounter likelihood together make individual effects sufficiently plausible to matter at the population level.,MULTIPLE_LINES: effect-level magnitude; buried-seed accessibility; mixed diet; population resilience,GENERALLY_SUPPORTED_WITH_QUALIFICATIONS,T162-C0057; T162-C0104; T162-C0105; T162-C0106,T162-Q0057,TABLES:Tables 96-104,MAIN-H0068; MAIN-H0070; MAIN-P001193; MAIN-P001217; MAIN-P001219; MAIN-P001221; MAIN-P001225,TRACEABLE_WITH_RECORDED_QUALIFICATIONS,TRC-001,Current-visible draft used: normal text and tracked insertions included; tracked deletions excluded. Word comments are working context only and are not evidence.
T162-D0008,TABLES:Table 162; TABLES-T0236,4,"Small cereals (barley, buck wheat, millet (pearl and proso), rye, sorghum, triticale and wheat)",Small Cereals,100 mg a.i./kg seed,Spring drill,"Crop-specific 0.5-6.4 cm depth; surface assumption varies by spring drill, fall drill and broadcast",Mammal,Acute,Medium,Y,TRACE-MAMMAL-CROP007-M,"For this 100 mg a.i./kg seed, Spring drill scenario, the assessment reports acceptable acute screening for all three mammal sizes; burial and mixed diet further reduce the all-seed-available exposure estimate.","The narrative characterizes acute mortality and non-negligible population effects as unlikely, emphasizing mixed diet, burial and EDE below the 50 mg/kg bw/d apical-effect context despite chronic-reference exceedance.",Determine whether modeled acute magnitude and encounter likelihood together make individual effects sufficiently plausible to matter at the population level.,MULTIPLE_LINES: effect-level magnitude; buried-seed accessibility; mixed diet; population resilience,GENERALLY_SUPPORTED_WITH_QUALIFICATIONS,T162-C0056; T162-C0104; T162-C0105; T162-C0106,T162-Q0056,TABLES:Tables 96-104,MAIN-H0068; MAIN-H0070; MAIN-P001193; MAIN-P001217; MAIN-P001219; MAIN-P001221; MAIN-P001225,TRACEABLE_WITH_RECORDED_QUALIFICATIONS,TRC-001,Current-visible draft used: normal text and tracked insertions included; tracked deletions excluded. Word comments are working context only and are not evidence.
T162-D0009,TABLES:Table 162; TABLES-T0236,4,"Small cereals (barley, buck wheat, millet (pearl and proso), rye, sorghum, triticale and wheat)",Small Cereals,100 mg a.i./kg seed,Spring drill,"Crop-specific 0.5-6.4 cm depth; surface assumption varies by spring drill, fall drill and broadcast",Mammal,Acute,Large,Y,TRACE-MAMMAL-CROP007-L,"For this 100 mg a.i./kg seed, Spring drill scenario, the assessment reports acceptable acute screening for all three mammal sizes; burial and mixed diet further reduce the all-seed-available exposure estimate.","The narrative characterizes acute mortality and non-negligible population effects as unlikely, emphasizing mixed diet, burial and EDE below the 50 mg/kg bw/d apical-effect context despite chronic-reference exceedance.",Determine whether modeled acute magnitude and encounter likelihood together make individual effects sufficiently plausible to matter at the population level.,MULTIPLE_LINES: effect-level magnitude; buried-seed accessibility; mixed diet; population resilience,GENERALLY_SUPPORTED_WITH_QUALIFICATIONS,T162-C0055; T162-C0104; T162-C0105; T162-C0106,T162-Q0055,TABLES:Tables 96-104,MAIN-H0068; MAIN-H0070; MAIN-P001193; MAIN-P001217; MAIN-P001219; MAIN-P001221; MAIN-P001225,TRACEABLE_WITH_RECORDED_QUALIFICATIONS,TRC-001,Current-visible draft used: normal text and tracked insertions included; tracked deletions excluded. Word comments are working context only and are not evidence.
T162-D0010,TABLES:Table 162; TABLES-T0236,4,"Small cereals (barley, buck wheat, millet (pearl and proso), rye, sorghum, triticale and wheat)",Small Cereals,100 mg a.i./kg seed,Spring drill,"Crop-specific 0.5-6.4 cm depth; surface assumption varies by spring drill, fall drill and broadcast",Mammal,Chronic,Small,Y,TRACE-MAMMAL-CROP007-S,"For this 100 mg a.i./kg seed, Spring drill scenario, 100% treated-seed diet can exceed the 2.4 mg/kg bw/d refined chronic reference for all sizes/rates, but even 300 mg/kg remains below the 50 mg/kg bw/d no-apical-effect level used in characterization.","The narrative characterizes acute mortality and non-negligible population effects as unlikely, emphasizing mixed diet, burial and EDE below the 50 mg/kg bw/d apical-effect context despite chronic-reference exceedance.","Determine whether the magnitude and duration of modeled exceedance, at a plausible dietary fraction and availability, are sufficient to imply a non-negligible population consequence.",MULTIPLE_LINES: effect-level magnitude; buried-seed accessibility; mixed diet; population resilience,GENERALLY_SUPPORTED_WITH_QUALIFICATIONS,T162-C0060; T162-C0104; T162-C0105; T162-C0106,T162-Q0060,TABLES:Tables 96-104,MAIN-H0068; MAIN-H0070; MAIN-P001193; MAIN-P001217; MAIN-P001219; MAIN-P001221; MAIN-P001225,TRACEABLE_WITH_RECORDED_QUALIFICATIONS,TRC-001,Current-visible draft used: normal text and tracked insertions included; tracked deletions excluded. Word comments are working context only and are not evidence.
