calculation_id,source_table,source_row_or_scenario,input_values,input_provenance,equation,independent_result,reported_result,absolute_difference,relative_difference,unit,rounding_explanation,status,notes
BSC-CALC-001,TABLES:Table 24,"Small bird (20 g), implied daily food",BW=20 g; candidate reconstructed coefficients 0.398 and 0.85,TABLES-P005831; daily food is implied by seed counts/EDE rather than printed,food (g/d) = 0.398 x BW(g)^0.85,5.07877,5.08,0.00123,0.0242%,g food/d,5.07877 rounds to 5.08.,MATCH_WITH_ROUNDING,Implementation reconstruction only; this is not proof of formula provenance or fresh/dry-weight basis.
BSC-CALC-002,TABLES:Table 25,"Medium bird (100 g), implied daily food",BW=100 g; candidate reconstructed coefficients 0.398 and 0.85,TABLES-P005964; daily food is implied by seed counts/EDE rather than printed,food (g/d) = 0.398 x BW(g)^0.85,19.947252,19.9,0.047252,0.2374%,g food/d,19.9473 is displayed through EDE/seed counts as about 19.9.,MATCH_WITH_ROUNDING,Implementation reconstruction only; source and mass basis remain TRC-001.
BSC-CALC-003,TABLES:Table 26,"Large bird (1000 g), implied daily food",BW=1000 g; candidate reconstructed coefficients 0.648 and 0.651,TABLES-P006097; daily food is implied by seed counts/EDE rather than printed,candidate food (g/d) = 0.648 x BW(g)^0.651,58.153386,58.2,0.046614,0.0801%,g food/d,58.1534 rounds to 58.2.,MATCH_WITH_ROUNDING,"Only one large-bird body weight is present, so this functional form is non-unique and is not claimed as sourced."
BSC-CALC-004,TABLES:Table 24,Small bird; 300 mg/kg; 100% diet,rate=300 mg/kg seed; food=5.078770 g/d; BW=20 g; diet=1,TABLES-P005831; MAIN-P000125,EDE = rate x food(g/d) / BW(g) x diet fraction,76.181554,76,0.181554,0.2389%,mg a.i./kg bw/d,Table 24 reports 76; Table 2 retains 76.2.,MATCH_WITH_ROUNDING,
BSC-CALC-005,TABLES:Table 25,Medium bird; 300 mg/kg; 25% diet,rate=300 mg/kg seed; food=19.947252 g/d; BW=100 g; diet=0.25,TABLES-P005964; MAIN-P000125,EDE = rate x food(g/d) / BW(g) x diet fraction,14.960439,15,0.039561,0.2637%,mg a.i./kg bw/d,14.9604 rounds to 15.0.,MATCH_WITH_ROUNDING,
BSC-CALC-006,TABLES:Table 26,Large bird; 200 mg/kg; 50% diet,rate=200 mg/kg seed; food=58.153386 g/d; BW=1000 g; diet=0.5,TABLES-P006097; MAIN-P000125,EDE = rate x food(g/d) / BW(g) x diet fraction,5.815339,5.82,0.004661,0.0801%,mg a.i./kg bw/d,5.81534 rounds to 5.82.,MATCH_WITH_ROUNDING,
BSC-CALC-007,TABLES:Table 24,All except millet; 200 mg/kg; 13 g TKW lower seed mass,rate=200 mg/kg seed; seed mass=0.013 g; BW=20 g,TABLES-P005887; TABLES-P001021; MAIN-P000444,dose/seed = rate(mg/kg seed) x seed mass(g) / BW(g),0.13,0.013,0.117,900%,mg a.i./kg bw per seed,No rounding explains a factor-of-10 difference.,MATERIAL_DISCREPANCY,Expected lower bound is 0.13; the upper bound 0.60 and the seed-count/EDE cells are consistent with the expected scale.
BSC-CALC-008,TABLES:Table 24,All except millet; 300 mg/kg; 59.5 g TKW upper seed mass,rate=300 mg/kg seed; seed mass=0.0595 g; BW=20 g,TABLES-P005831; TABLES-P001021,dose/seed = rate(mg/kg seed) x seed mass(g) / BW(g),0.8925,0.89,0.0025,0.2809%,mg a.i./kg bw per seed,0.8925 rounds to 0.89.,MATCH_WITH_ROUNDING,
BSC-CALC-009,TABLES:Table 25,Medium bird; 200 mg/kg; 1% diet (both seed groups),rate=200 mg/kg seed; food=19.947252 g/d; BW=100 g; diet=0.01,TABLES-P006032; TABLES-P006077,EDE = rate x food(g/d) / BW(g) x diet fraction,0.398945,0.199,0.199945,100.4749%,mg a.i./kg bw/d,No rounding explains the duplicated 100-mg/kg result.,MATERIAL_DISCREPANCY,"Expected about 0.399. The error is confined to the two 200-mg/kg, 1%-diet display cells and does not affect the narrative scenarios."
BSC-CALC-010,TABLES:Table 24,Small bird; 13 g TKW; 100% diet,food=5.078770 g/d; seed mass=0.013 g,TABLES-P005831; TABLES-P001021,seeds/day = food(g/d) / seed mass(g/seed),390.674636,391,0.325364,0.0832%,seeds/d,390.675 rounds to 391.,MATCH_WITH_ROUNDING,
