metric_id,active_ingredient_or_transformation_product,taxon,acute_or_chronic,species_if_applicable,endpoint_type,endpoint_value,uncertainty_factor,derived_effects_metric,unit,screening_or_refined,source_table,source_narrative,supporting_study_or_appendix_if_identified,used_in,structural_status,notes
METRIC-001,Thiamethoxam,Bird,Acute,Canary,LD50,431,10,43.1,mg a.i./kg bw/d,SCREENING,TABLES:Table 1,MAIN-P000345,PMRA#3251286,Bird screening and refined crop branches,AVAILABLE,Endpoint selection not evaluated.
METRIC-002,Thiamethoxam,Bird,Chronic,Northern bobwhite quail,"NOEL, female parental body-weight gain",7.78,1,7.78,mg a.i./kg bw/d,SCREENING,TABLES:Table 1,MAIN-P000358,PMRA#1178281,Bird screening and refined crop branches,AVAILABLE,
METRIC-003,Thiamethoxam,Mammal,Acute,CD-1 mouse,LD50,783,10,78.3,mg a.i./kg bw/d,SCREENING,TABLES:Table 1,MAIN-P001121,PMRA#1178092,Mammal screening and refined crop branches,AVAILABLE,
METRIC-004,Thiamethoxam,Mammal,Chronic,Rat (Tif:RAlf); F2 female offspring,NOEL for offspring body weight/body-weight gain expressed as parental male daily-dose estimate,1.8,1,1.8,mg a.i./kg bw/d,SCREENING,TABLES:Table 1; TABLES:Table 4,MAIN-P001130; MAIN-P000121,PMRA#1178124,Mammalian screening assessment; Table 4 chronic RQs,AVAILABLE_REVIEWER_CONFIRMED_SCREENING_WORKFLOW,"Reviewer clarification confirms that 1.8 is intentionally used for mammalian screening. Do not pursue the 1.8/2.4 distinction unless a genuinely new inconsistency is encountered; see closed TRC-002, CON-001, CLR-001 and WB-LOG-001."
METRIC-005,Clothianidin,Bird,Acute,Not identified in Table 1,LD50,423,10,42.3,mg a.i./kg bw/d,SCREENING,TABLES:Table 1,MAIN-P000117,,Bird clothianidin screen,AVAILABLE,
METRIC-006,Clothianidin,Bird,Chronic,Not identified in Table 1,NOEL,21.2,1,21.2,mg a.i./kg bw/d,SCREENING,TABLES:Table 1,,,Metric indexed from Table 1,AVAILABLE,Narrative screening discussion emphasizes acute clothianidin.
METRIC-007,Clothianidin,Mammal,Acute,Not identified in Table 1,LD50,389,10,38.9,mg a.i./kg bw/d,SCREENING,TABLES:Table 1,MAIN-P000117,,Mammal clothianidin screen,AVAILABLE,
METRIC-008,Clothianidin,Mammal,Chronic,Not identified in Table 1,NOEL,9.8,1,9.8,mg a.i./kg bw/d,SCREENING,TABLES:Table 1,,,Metric indexed from Table 1,AVAILABLE,Narrative screening discussion emphasizes acute clothianidin.
METRIC-009,Thiamethoxam,Bird,Acute,Eared dove,Lowest tested level with clinical signs,67,,67,mg a.i./kg bw,REFINED_ADDITIONAL,,MAIN-P000369,Acute avian dataset,Bird refined crop branches,AVAILABLE,
METRIC-010,Thiamethoxam,Bird,Acute,House sparrow,Highest tested level with no mortality,104,,104,mg a.i./kg bw,REFINED_ADDITIONAL,,MAIN-P000370,Acute avian dataset,Bird refined crop branches,AVAILABLE,
METRIC-011,Thiamethoxam,Bird,Acute,Grey partridge,Lowest tested level with treatment-related mortality,155,,155,mg a.i./kg bw,REFINED_ADDITIONAL,,MAIN-P000371,17% mortality,Bird refined crop branches,AVAILABLE,
METRIC-012,Thiamethoxam,Bird,Chronic,Mallard,Lowest tested level with significant reproductive effect,10.8,,10.8,mg a.i./kg bw/d,REFINED_ADDITIONAL,,MAIN-P000376,Viable embryos/fertile eggs,Bird refined crop branches,AVAILABLE,
METRIC-013,Thiamethoxam,Bird,Chronic,Mallard,Next tested level with offspring growth and reproductive effects,33.8,,33.8,mg a.i./kg bw/d,REFINED_ADDITIONAL,,MAIN-P000377,Hatchling body weight and viable embryos,Bird refined crop branches,AVAILABLE,
METRIC-014,Thiamethoxam,Bird,Chronic,Northern bobwhite quail,Lowest tested level with significant reproductive effect,77.8,,77.8,mg a.i./kg bw/d,REFINED_ADDITIONAL,,MAIN-P000378,Eggs laid per pen,Bird refined crop branches,AVAILABLE,Source paragraph rounds the 77.66 value discussed at MAIN-P000358.
METRIC-015,Thiamethoxam,Mammal,Acute,Mouse,Highest level with no apparent treatment-related clinical signs,314,,314,mg a.i./kg bw,REFINED_ADDITIONAL,,MAIN-P001155,7-day dietary study context,Mammal refined crop branches,AVAILABLE,
METRIC-016,Thiamethoxam,Mammal,Acute,Sprague-Dawley rat/rodent dataset,Lowest level with clinical signs including mortality,500,,500,mg a.i./kg bw/d,REFINED_ADDITIONAL,,MAIN-P001156,Acute mammal dataset,Mammal refined crop branches,AVAILABLE,
METRIC-017,Thiamethoxam,Mammal,Acute,CD-1 mouse,Lowest LD50,783,,783,mg a.i./kg bw/d,REFINED_ADDITIONAL,,MAIN-P001157,PMRA#1178092,Mammal refined crop branches,AVAILABLE,"Same underlying endpoint as screening, without the screening UF."
METRIC-018,Thiamethoxam,Mammal,Chronic,Rat (refined-characterization implementation),Chronic value used for further/refined mammalian characterization,2.4,,2.4,mg a.i./kg bw/d,REFINED,TABLES:Table 102; TABLES:Table 103; TABLES:Table 104; TABLES:Table 105; TABLES:Table 106; TABLES:Table 111; TABLES:Table 112; TABLES:Table 113; TABLES:Table 118; TABLES:Table 119; TABLES:Table 120; TABLES:Table 128; TABLES:Table 129; TABLES:Table 130; TABLES:Table 131; TABLES:Table 132; TABLES:Table 133; TABLES:Table 134; TABLES:Table 135; TABLES:Table 136; TABLES:Table 143; TABLES:Table 144; TABLES:Table 145; TABLES:Table 152; TABLES:Table 153; TABLES:Table 154; TABLES:Table 159; TABLES:Table 160; TABLES:Table 161,MAIN-P001160; MAIN-P001221,Reviewer clarification: 2.4 is intentionally used for further/refined mammalian characterization,Mammal refined duration tables and current Small Cereals characterization,AVAILABLE_REVIEWER_CONFIRMED_REFINED_WORKFLOW,"Reviewer clarification confirms the stage-specific workflow. No endpoint investigation, recalculation or correction is required; see closed TRC-002, CON-001, CLR-001 and WB-LOG-001."
METRIC-019,Thiamethoxam,Mammal,Chronic,Rodent/lagomorph dataset,Highest tested level with no apparent treatment-related effects,50,,50,mg a.i./kg bw/d,REFINED_ADDITIONAL,,MAIN-P001163,Chronic mammal dataset,Mammal refined crop branches,AVAILABLE,
METRIC-020,Thiamethoxam,Mammal,Chronic,Rodent/lagomorph dataset,"Highest level with no apparent effects on survival, reproduction or offspring growth",79,,79,mg a.i./kg bw,REFINED_ADDITIONAL,,MAIN-P001164,Chronic mammal dataset,Mammal refined crop branches,AVAILABLE,Dog growth effects at >=51 are noted in the source.
METRIC-021,Thiamethoxam,Mammal,Chronic,Pregnant rabbit/combined dataset,Lowest tested level with treatment-related mortality,150,,150,mg a.i./kg bw/d,REFINED_ADDITIONAL,,MAIN-P001165,Chronic mammal dataset,Mammal refined crop branches,AVAILABLE,
