crop,tkw_low_g_per_1000,tkw_high_g_per_1000,seeding_rate_low_seeds_per_ha_direct,seeding_rate_high_seeds_per_ha_direct,seeding_rate_low_kg_per_ha_low_tkw,seeding_rate_low_kg_per_ha_high_tkw,seeding_rate_high_kg_per_ha_low_tkw,seeding_rate_high_kg_per_ha_high_tkw,seeds_per_ha_low,seeds_per_ha_high,seeds_per_ha_low_basis,seeds_per_ha_high_basis,spring_seeded,fall_seeded,broadcast_seeded,drill_seeded,precision_planted,source,status
Asparagus,20,20,NA,NA,11,11,11,11,550000,550000,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,PMRA 2015,ASSESSMENT_DEFAULT
Barley,24.8,59.5,1800000,4700000,44.64,107.1,116.56,279.65,1800000,4700000,DIRECT,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, broad/faba, large-seeded",800,1680,71759,215278,57.4072,120.55512,172.2224,361.66704,71759,215278,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, broad/faba, small-seeded",200,800,250000,650000,50,200,130,520,250000,650000,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",240,435,344548,784314,82.69152,149.87838,188.23535999999999,341.17659,344548,784314,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, coloured excluding kidney and cranberry , wide row/standard planting",240,435,151316,375940,36.31584,65.82246,90.2256,163.5339,151316,375940,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, kidney and cranberry",459,690,98842,216981,45.368478,68.20098,99.594279,149.71688999999998,98842,216981,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, lima",250,1134,71759,287038,17.93975,81.374706,71.7595,325.50109200000003,71759,287038,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, navy/white and black, narrow row/solid seeding",160,265,602958,784314,96.47328,159.78387,125.49024,207.84321,602958,784314,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, navy/white and black, wide row/standard planting",160,265,108726,375940,17.39616,28.81239,60.150400000000005,99.6241,108726,375940,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
