consideration_id,table162_decision_ids,applicable_decision_count,crop_use,taxon_receptor,scenario_applicability,theme,concise_consideration,direction,evidence_type,quantitative_value,source_document,source_table_section_appendix,traceability_status,uncertainty_qualification,relevance_to_table162_decision,related_existing_finding_trc_xrf_ids,evidence_interpretation_or_judgment
T162-C0001,T162-D0111; T162-D0123; T162-D0135; T162-D0147; T162-D0159; T162-D0171,6,Canola/Mustard,Bird; Acute; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"maximum availability is about 9% (spring) and 25% (fall); high/mid broadcast scenarios can exceed acute metrics for about 6 days or more, while drilled and lower-rate scenarios are less severe.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 42-50; MAIN-H0040; MAIN-P000668; MAIN-P000670; MAIN-P000672; MAIN-P000682; MAIN-P000689; MAIN-P000691; MAIN-P000697; MAIN-P000699; MAIN-P000701; MAIN-P000703; MAIN-P000705,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0002,T162-D0110; T162-D0122; T162-D0134; T162-D0146; T162-D0158; T162-D0170,6,Canola/Mustard,Bird; Acute; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"maximum availability is about 13% (spring) and 36% (fall); high/mid fall-drill and broadcast scenarios can sustain acute exceedance, whereas the low rate is materially lower.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 42-50; MAIN-H0040; MAIN-P000668; MAIN-P000670; MAIN-P000672; MAIN-P000682; MAIN-P000689; MAIN-P000691; MAIN-P000697; MAIN-P000699; MAIN-P000701; MAIN-P000703; MAIN-P000705,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0003,T162-D0109; T162-D0121; T162-D0133; T162-D0145; T162-D0157; T162-D0169,6,Canola/Mustard,Bird; Acute; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"spring-drill maximum surface availability is about 51% of diet and fall-drill about 142%; 100% and 50% scenarios at the higher loadings can exceed acute metrics for a week or more, with broadcast giving the greatest availability.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 42-50; MAIN-H0040; MAIN-P000668; MAIN-P000670; MAIN-P000672; MAIN-P000682; MAIN-P000689; MAIN-P000691; MAIN-P000697; MAIN-P000699; MAIN-P000701; MAIN-P000703; MAIN-P000705,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0004,T162-D0114; T162-D0126; T162-D0138; T162-D0150; T162-D0162; T162-D0174,6,Canola/Mustard,Bird; Chronic; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,high/mid broadcast can sustain chronic exceedance for roughly 16 days or more; large-bird drilled scenarios are materially reduced by limited surface availability.,INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 42-50; MAIN-H0040; MAIN-P000668; MAIN-P000670; MAIN-P000672; MAIN-P000682; MAIN-P000689; MAIN-P000691; MAIN-P000697; MAIN-P000699; MAIN-P000701; MAIN-P000703; MAIN-P000705,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0005,T162-D0113; T162-D0125; T162-D0137; T162-D0149; T162-D0161; T162-D0173,6,Canola/Mustard,Bird; Chronic; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,high/mid broadcast or fall scenarios can retain chronic exceedance for roughly two weeks; low-rate conclusions depend strongly on realistic dietary fraction and planting method.,INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 42-50; MAIN-H0040; MAIN-P000668; MAIN-P000670; MAIN-P000672; MAIN-P000682; MAIN-P000689; MAIN-P000691; MAIN-P000697; MAIN-P000699; MAIN-P000701; MAIN-P000703; MAIN-P000705,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0006,T162-D0112; T162-D0124; T162-D0136; T162-D0148; T162-D0160; T162-D0172,6,Canola/Mustard,Bird; Chronic; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"higher-rate 100%/50% dietary cases can exceed chronic metrics for at least a week; broadcast availability supports longer exposure, while drilled 25%/10% refinements reduce it.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 42-50; MAIN-H0040; MAIN-P000668; MAIN-P000670; MAIN-P000672; MAIN-P000682; MAIN-P000689; MAIN-P000691; MAIN-P000697; MAIN-P000699; MAIN-P000701; MAIN-P000703; MAIN-P000705,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0007,T162-D0117; T162-D0129; T162-D0141; T162-D0153; T162-D0165; T162-D0177,6,Canola/Mustard,Mammal; Acute; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,even 100% diet does not exceed the acute 314 mg/kg bw/d metric for large mammals.,INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 114-120; MAIN-H0075; MAIN-H0076; MAIN-P001270; MAIN-P001275; MAIN-P001276; MAIN-P001282; MAIN-P001285; MAIN-P001288; MAIN-P001294; MAIN-P001299; MAIN-P001300; MAIN-P001301; MAIN-P001303,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0008,T162-D0116; T162-D0128; T162-D0140; T162-D0152; T162-D0164; T162-D0176,6,Canola/Mustard,Mammal; Acute; Medium,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at the high loading, 100% diet exceeds 314 for about 7 days and 500 for less than 1 day; at 50% neither is exceeded.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 114-120; MAIN-H0075; MAIN-H0076; MAIN-P001270; MAIN-P001275; MAIN-P001276; MAIN-P001282; MAIN-P001285; MAIN-P001288; MAIN-P001294; MAIN-P001299; MAIN-P001300; MAIN-P001301; MAIN-P001303,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0009,T162-D0115; T162-D0127; T162-D0139; T162-D0151; T162-D0163; T162-D0175,6,Canola/Mustard,Mammal; Acute; Small,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at high rates, 100% diet can exceed 314 mg/kg bw/d for about 9 days and 500 for about 2; at 50% neither is exceeded. Chronic 79/150 durations at 100% are about 19-30/10-20 days, with substantial reduction at 25%.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 114-120; MAIN-H0075; MAIN-H0076; MAIN-P001270; MAIN-P001275; MAIN-P001276; MAIN-P001282; MAIN-P001285; MAIN-P001288; MAIN-P001294; MAIN-P001299; MAIN-P001300; MAIN-P001301; MAIN-P001303,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
T162-C0010,T162-D0120; T162-D0132; T162-D0144; T162-D0156; T162-D0168; T162-D0180,6,Canola/Mustard,Mammal; Chronic; Large,All Table 162 scenarios in this crop-family/receptor/effect group; rate and method distinctions remain explicit in the decision matrix,QUANTITATIVE_BACKBONE,"at high rates, 100% diet exceeds 79 for about 8-18 days and 150 for about 9 days; at 25%, 79 persists about 5 days and 150 is not exceeded.",INCREASES_CONCERN,DIRECT_QUANTITATIVE,See concise consideration and linked decision-level evidence,MAIN; TABLES,TABLES:Tables 114-120; MAIN-H0075; MAIN-H0076; MAIN-P001270; MAIN-P001275; MAIN-P001276; MAIN-P001282; MAIN-P001285; MAIN-P001288; MAIN-P001294; MAIN-P001299; MAIN-P001300; MAIN-P001301; MAIN-P001303,TRACEABLE_WITH_QUALIFICATION,Values summarize the most decision-relevant extrema and duration contrasts; full ranges remain in cited tables and Phase 2B/3 registers.,Supplies the quantitative magnitude/duration backbone; it does not itself dictate the Table 162 position.,TRC-001,EVIDENCE
