assumption_id,name,value_or_description,unit_if_applicable,scope,source_document,source_location,supporting_evidence,tables_using_assumption,narrative_sections_using_assumption,uncertainty_stated_in_assessment,structural_status,notes
ASSUMPTION-001,Maximum-rate initial screen,Highest registered application rate for each crop/use; conservative lower seed mass where applicable.,rate as registered,"Initial screening, all crops/receptors",MAIN,MAIN-P000115,TABLES:Table 2; TABLES:Table 4,TABLES:Table 2; TABLES:Table 3; TABLES:Table 4; TABLES:Table 5,MAIN-H0002,Lower seed mass increases estimated concentration/exposure.,AVAILABLE,Rates are not independently checked.
ASSUMPTION-002,Screening diet,100% of daily energy/diet is treated seed of the crop being screened.,% diet,"Initial screening, birds and mammals",MAIN,MAIN-P000198,MAIN-P000115,TABLES:Table 2; TABLES:Table 3; TABLES:Table 4; TABLES:Table 5,MAIN-H0002; MAIN-H0015,Assessment later refines accessibility and dietary fraction.,AVAILABLE,Refined tables use multiple dietary fractions.
ASSUMPTION-003,Complete screening transformation,100% conversion of thiamethoxam to clothianidin using molar mass ratio 249.68/291.7 = 0.856.,fraction,Acute clothianidin screening,MAIN,MAIN-P000117,TABLES:Table 3; TABLES:Table 5,TABLES:Table 3; TABLES:Table 5,MAIN-H0002,Explicitly conservative screening assumption.,AVAILABLE,Refined assessment uses a different transformation convention.
ASSUMPTION-004,Refined clothianidin contribution,No quantitative refined exposure to clothianidin from ingestion of thiamethoxam-treated seed.,qualitative exclusion,Refined bird and mammal seed-ingestion assessment,MAIN,MAIN-P000154; MAIN-P000221,MAIN-H0006; TABLES:Table 8; APPENDICES-H0001,,MAIN-H0008; MAIN-H0017,Uncertainty stated because no study directly examined conversion on treated seed.,AVAILABLE,Distinct from ASSUMPTION-003 screening convention.
ASSUMPTION-005,Thiamethoxam residue dissipation,Single first-order DT50 of 10 days; not applied to pelleted seed such as sugar beet.,days,Refined quantitative analyses except pelleted seed,MAIN,MAIN-P000138; MAIN-P000221,APPENDICES-P000054; TABLES:Table 8,TABLES:Table 27; TABLES:Table 48; TABLES:Table 102,MAIN-H0005; MAIN-H0017,Selected as moderately conservative because Canadian representativeness is uncertain.,AVAILABLE_WITH_XRF,Appendix analysis links affected by XRF-0013.
ASSUMPTION-006,Pelleted-seed residue persistence,Thiamethoxam treated as stable on pelleted seed because dissipation information is absent.,qualitative stability,Sugar beet quantitative analyses,TABLES,TABLES-P001831,TABLES:Table 8; MAIN-P000138,TABLES:Table 88; TABLES:Table 89; TABLES:Table 90; TABLES:Table 159; TABLES:Table 160; TABLES:Table 161,MAIN-H0052; MAIN-H0086,Described in Table 8 as highly conservative.,AVAILABLE,No appropriateness judgment made.
ASSUMPTION-007,Broadcast surface fraction,100% of sown seed available at the surface immediately after sowing.,% of sown seed,Broadcast scenarios,MAIN,MAIN-P000163; MAIN-P000190,TABLES:Table 7,TABLES:Table 21; TABLES:Table 42,MAIN-H0010; MAIN-H0014,Default treated as an estimate rather than a fixed field proportion.,AVAILABLE,
ASSUMPTION-008,Spring standard-drill surface fraction,3.3% of sown seed available at the surface immediately after sowing.,% of sown seed,Spring standard-drill scenarios,MAIN,MAIN-P000163; MAIN-P000179,de Snoo and Luttik (2004) as cited by assessment,TABLES:Table 21; TABLES:Table 32; TABLES:Table 105,MAIN-H0010; MAIN-H0013,Substantial within/among-field variability is stated.,AVAILABLE_WITH_BROKEN_FIELDS,Tables 105-107 broken links are triaged in XRF-0009.
ASSUMPTION-009,Fall standard-drill surface fraction,9.2% of sown seed available at the surface immediately after sowing.,% of sown seed,Fall standard-drill small cereals/oilseeds,MAIN,MAIN-P000163; MAIN-P000179,de Snoo and Luttik (2004) as cited by assessment,TABLES:Table 21; TABLES:Table 42,MAIN-H0010; MAIN-H0014,Substantial within/among-field variability is stated.,AVAILABLE,
ASSUMPTION-010,Precision-planting surface fraction,0.5% of sown seed available at the surface immediately after sowing.,% of sown seed,Precision-planted scenarios,MAIN,MAIN-P000163; MAIN-P000179,de Snoo and Luttik (2004) as cited by assessment,TABLES:Table 32; TABLES:Table 54; TABLES:Table 122,MAIN-H0010; MAIN-H0013,Substantial within/among-field variability is stated.,AVAILABLE_WITH_BROKEN_FIELDS,Tables 105-107 broken links are triaged in XRF-0009.
ASSUMPTION-011,Surface-seed loss,Single first-order DT50 of 14 days for loss of surface crop seed by displacement and predation.,days,Refined quantitative analyses,MAIN,MAIN-P000183; MAIN-P000221,MAIN-P000170; MAIN-P000171; MAIN-P000172; TABLES:Table 8,TABLES:Table 21; TABLES:Table 42; TABLES:Table 96,MAIN-H0012; MAIN-H0017,Selected as moderately conservative amid variable data.,AVAILABLE,Distinct from residue DT50.
