item_id,calculation_or_assumption,independent_method,source_input,independent_result,r_engine_result,audited_excel_result,difference_or_tolerance,status,consequence,recommended_action
AUD-001,Seed mass from thousand-seed weight (m_seed = TKW/1000),Hand arithmetic in a standalone Python script that does not import any project R code,TKW = 24.8 g/1000 seeds (Barley low bound),0.0248 g/seed,0.0248 g/seed,,Exact (bit-identical),PASS,Base conversion for all per-seed quantities is correct,None
AUD-002,Inverse conversion TKW = m_seed x 1000 and full round trip,Independent Python inverse then round trip over all 348 small-cereals rows in R,All small-cereals TKW values,Round trip returns the input exactly,identical() TRUE over 348 rows,,Relative error 0,PASS,No drift is introduced by moving between seed mass and TKW,None
AUD-003,Seeding rate mass basis to count basis (N_ha = R_mass x 1e6 / TKW),Independent Python arithmetic from the spec equation,44.64 kg seed/ha at TKW 24.8,1800000 seeds/ha,1800000 seeds/ha,Seeding Assumptions!F3 = 44.64 with D3 = 1800000,Exact,PASS,Mass and count seeding rates are interconvertible without error,None
AUD-004,Seeding rate count basis to mass basis (R_mass = N_ha x TKW / 1e6),Independent Python arithmetic,1800000 seeds/ha at TKW 24.8,44.64 kg seed/ha,44.64 kg seed/ha,Seeding Assumptions!F3 = 44.64 (formula ((D3/1000)*B3)/1000),Exact,PASS,Reproduces the workbook mass-rate block exactly,None
AUD-005,Mass to count round trip exactness across the full dataset,Recomputed both directions in R on engine output without using the engine's own round-trip helper,All 348 small-cereals scenario_inputs rows,Round trip is the identity,Maximum relative error 0,,0 (machine exact),PASS,Specification invariant 10 holds,None
AUD-006,Hectare to square metre conversion (N_m2 = N_ha / 10000),Independent Python arithmetic,1800000 seeds/ha,180 seeds/m2,180 seeds/m2,Seed Inputs and EECs!AC4 = 180,identical() TRUE over 348 rows,PASS,The only ha/m2 factor in the chain is correct and used once,None
AUD-007,Dose per seed from concentration (D_seed = C_seed x TKW / 1e6),Independent Python arithmetic; workbook formula read as EEC/(1000000/TKW),Barley 300 mg a.i./kg seed at TKW 24.8,0.00744 mg a.i./seed,0.00744 mg a.i./seed,Seed Inputs and EECs!Q4 = 7.4400000000000004E-3,Exact to all stored digits,PASS,Confirms the spec section 5.3 worked example against the primary source,None
AUD-008,Dose per seed at the high seed-mass bound,Independent Python arithmetic,Barley 300 mg a.i./kg seed at TKW 59.5,0.01785 mg a.i./seed,0.01785 mg a.i./seed,Seed Inputs and EECs!R4 = 1.7849999999999998E-2,Exact,PASS,The high-TKW branch is correct as well as the low,None
AUD-009,Concentration from dose per seed (C_seed = D_seed x 1e6 / TKW),Independent Python arithmetic; workbook formula read as App x 1000000 / TKW,Soybean 0.045 mg a.i./seed at TKW 93.5 and 256.4,481.2834224598931 and 175.5070202808112 mg a.i./kg seed,481.2834224598931 and 175.5070202808112,Formula form confirmed at Seed Inputs and EECs!K4 (no cached soybean cell in this workbook),Exact,PASS,The per-seed rate branch converts correctly in both directions,None
AUD-010,Rate-unit round trip exactness in both directions,Recomputed the inverse conversion in R on engine output,All 348 small-cereals rows including mg a.i./seed scenarios,Round trip is the identity,Maximum relative error 0,,0 (machine exact),PASS,No information is lost converting between the two registered rate units,None
AUD-011,Field loading (R_field = C_seed/1000 x R_mass),Independent Python arithmetic,Barley 300 mg a.i./kg seed and 44.64 kg seed/ha,13.392 g a.i./ha,13.392 g a.i./ha,Seed Inputs and EECs!W4 = 13.391999999999999,Exact,PASS,Confirms the spec section 5.4 worked example against the primary source,None
AUD-012,Field loading at the high seeding-rate and high seed-mass bound,Independent Python arithmetic,Barley 300 mg a.i./kg seed and 279.65 kg seed/ha,83.895 g a.i./ha,83.895 g a.i./ha,Seed Inputs and EECs!X4 = 83.894999999999996,Exact,PASS,Both workbook field-rate columns are reproduced,None
AUD-013,Cross-form identity field_rate = D_seed x seeds_per_ha / 1000,Derived the identity from first principles then evaluated it in R against the engine column,All 348 small-cereals rows,The two forms agree,Maximum relative error 2.22e-16,,2.2e-16,PASS,The mg/g/kg factor chain in field loading is internally consistent,None
AUD-014,Field rate is invariant to the seed-mass bound when the rate unit is mg a.i./seed,Algebraic derivation (field rate = D_seed x N_ha / 1000 contains no TKW) then numeric check,Cucumber processing 0.75 mg a.i./seed,27.75 g a.i./ha at both TKW bounds,27.75 at both TKW bounds,,Exact,PASS,Confirms no spurious TKW dependence enters the per-seed branch,None
AUD-015,Surface-seed fractions by planting method,Read the workbook cells directly and compared with the reference CSV,General Look ups!G2:G5,"1.000 broadcast, 0.033 spring drill, 0.092 fall drill, 0.005 precision",Same four values present in engine output,"General Look ups!G5=1, G2=3.3E-2, G3=9.2E-2, G4=5.0E-3",Exact,PASS,de Snoo and Luttik fractions are transcribed correctly as fractions not percentages,None
AUD-016,Initial surface seed density broadcast (S(0) = N_ha/10000 x f_surface),Independent Python arithmetic,Barley low bound 1800000 seeds/ha broadcast,180 seeds/m2,180 seeds/m2,Seed Inputs and EECs!AC4 = 180,Exact,PASS,Confirms the spec section 6 worked example against the primary source,None
AUD-017,Initial surface seed density spring drill,Independent Python arithmetic,Barley low bound with f_surface 0.033,5.94 seeds/m2,5.94 seeds/m2,Seed Inputs and EECs!AE4 = 5.94,Exact,PASS,Percent-to-fraction handling for the drill fractions is correct,None
AUD-018,Initial surface seed density fall drill,Independent Python arithmetic,Barley low bound with f_surface 0.092,16.56 seeds/m2,16.56 seeds/m2,Seed Inputs and EECs!AG4 = 16.559999999999999,Exact,PASS,Fall-drill branch is correct,None
AUD-019,Mean area per surface seed (reciprocal of density),Independent Python arithmetic,180 seeds/m2,0.005555555555555556 m2/seed,0.005555555555555556 m2/seed,Seed Inputs and EECs!AK4 = 5.5555555555555558E-3,Exact,PASS,Reciprocal is taken of the correct quantity,None
AUD-020,Identity area_per_surface_seed x initial_surface_seeds_per_m2 = 1,Evaluated independently in R across the full dataset,All 348 small-cereals rows,Product equals 1,Maximum absolute deviation 1.11e-16,,1.1e-16,PASS,No inverted or duplicated reciprocal anywhere,None
AUD-021,Two-dimensional seeds/ha grid reproduces the workbook block (buckwheat),Read workbook Seeding Assumptions J20/K20/L20/M20 statically then compared engine output,Buckwheat 20 and 90 kg seed/ha with TKW 29 and 37.3,"689655.17, 536193.03, 3103448.28, 2412868.63","689655.17, 536193.03, 3103448.28, 2412868.63","J20=689655.17241379304, K20=536193.02949061664, L20=3103448.2758620689, M20=2412868.6327077746",Exact to all stored digits,PASS,The engine reproduces the workbook's own 2x2 seed-count block,None
AUD-022,Two-dimensional seeds/ha grid (pearl millet),Same static workbook read and comparison,Pearl millet 5.6 and 34 kg seed/ha with TKW 5.3 and 6.5,"1056603.77, 861538.46, 6415094.34, 5230769.23",Same four values,"J54, K54, L54, M54 identical",Exact,PASS,Confirms the pattern is not crop-specific,None
AUD-023,Two-dimensional seeds/ha grid (oat),Same static workbook read and comparison,Oat 53.8 and 157 kg seed/ha with TKW 27 and 46,"1992592.59, 1169565.22, 5814814.81, 3413043.48",Same four values,"J62, K62, L62, M62 identical",Exact,PASS,Confirms the pattern again,None
AUD-024,Two-dimensional seeds/ha grid (winter wheat mixed direct and mass basis),Same static workbook read and comparison,Winter wheat 30 kg/ha low and 5500000 seeds/ha direct high,"1500000, 600000, 5500000, 5500000",Same four values,"J84=1500000, K84=600000, high bound taken from direct E84=5500000",Exact,PASS,The mixed direct/converted case is handled correctly,None
AUD-025,Extremes of the engine's grid coincide with the documented bounds,Computed min and max of the engine's four seeds/ha values per crop and compared with the reference CSV columns,All small-cereals crops,min = seeds_per_ha_low and max = seeds_per_ha_high,Confirmed for Barley Buckwheat Winter wheat Pearl millet Oat Soybean Cucumber,,Exact,PASS,Any range reported across the grid is correct even though individual rows are labelled differently,None
AUD-026,Row-level internal consistency seeds_per_ha x TKW / 1e6 = seeding_rate_kg_per_ha,Recomputed the identity in R on engine output,All 348 small-cereals rows at baseline,The identity holds,Maximum relative error 1.32e-16,,1.3e-16,PASS,Every baseline scenario row is self-consistent in seed count mass and TKW,None
AUD-027,Interpretation of seeding_rate_bound in the canonical output,Compared the spec section 4.2 rule with the implemented resolve_seeding() and with the workbook,"Spec 4.2 states a 1-D rule (low bound uses HIGH TKW, high bound uses LOW TKW); code implements a 2-D grid","Following spec 4.2 literally gives 861538 seeds/ha for pearl millet low bound; it also produces internally incoherent rows (count derived at TKW 6.5 shown beside seed mass 0.0053 g)",Engine gives 1056604 at low/low_tkw and 861538 at low/high_tkw,Workbook contains both conventions: AC/AD use the bracket K and L; Seeding Assumptions J:M and the crop sheets use the full grid,"Up to 2.5x on seed-count columns (winter wheat low/low_tkw 1500000 vs documented low bound 600000); zero effect on dose, RQ, feasible diet fraction or required search area",DOCUMENTATION_GAP,"A row labelled seeding_rate_bound='low' can carry a seed count 2.5x the figure the specification and the published tables call the lower bound. Affects seeds_per_ha, seeds_per_m2, initial_surface_seeds_per_m2, area_per_surface_seed_m2, available_seeds_within_msa and seeds_required_full_diet only.","Do not change the code - it matches the workbook and is the internally coherent choice. Rewrite specification section 4.2 to describe the implemented 2x2 grid, cite Seeding Assumptions!J:M as its provenance, and state that the outer bracket K/L is what the Word tables report. Require seed_mass_bound to be displayed alongside seeding_rate_bound in any regulatory table, or build such tables from the min/max summary."
AUD-028,Validity of the specification's section 4.1 citation,Read the cited range Seed Inputs and EECs!AC:AR header row directly from the workbook,Spec 4.1 cites AC:AR as confirming the two bounds are independent axes,"AC3:AR3 are labelled only 'Low Seeding Rate' / 'High Seeding Rate'; there is no seed-weight axis in AC:AR at all",Not applicable (documentation check),Seed Inputs and EECs!AC3:AR3 header row,Citation does not support the claim,DOCUMENTATION_GAP,"The claim in 4.1 is substantively true but the evidence is elsewhere (crop sheet rows 19-27 and 79-82, and Seeding Assumptions!J:M). A reviewer following the citation will not find what is described.",Correct the citation in specification section 4.1 to point to Seeding Assumptions!J:M and crop sheet rows 19-27 and 79-82.
AUD-029,Reference CSV columns seeds_per_ha_low / seeds_per_ha_high are unused by the engine,Repository-wide search for every reference to those column names,crop_seeding_parameters.csv,"Columns encode the spec 4.2 bracketing rule; nothing in R/calculations, R/inputs or R/summaries reads them","Read only by R/shiny/40_modules_inputs.R and one assertion in tests/testthat/test-07",,Not applicable,DOCUMENTATION_GAP,Two different seeds/ha definitions coexist in the repository. A reviewer comparing the CSV columns with the engine's seeds_per_ha output will see apparent mismatches that are this definitional difference.,"Either remove the columns from the reference table, or add a column comment stating that they are the outer bracket of the engine's grid and are not the per-row value."
AUD-030,Number of distinct field rates reported per crop and rate level,Compared engine output with the workbook's field-rate columns,Barley 300 mg a.i./kg seed,"Workbook computes two field rates: W4 = 13.392 (low bound x low seed weight) and X4 = 83.895 (high bound x high seed weight)","Engine reports four: 13.392, 32.130, 34.968, 83.895","Seed Inputs and EECs!W4 and X4 only",Two additional cells have no workbook counterpart,DOCUMENTATION_GAP,"The two extra field rates are internally consistent and correctly derived, but they are not workbook-reproduced values and should not be presented as such.",State in the specification that the engine extends the workbook's two field rates to the full 2x2 grid and label the two extra cells as engine-derived.
AUD-031,Source workbook internal inconsistency for mass-supplied crops,Read the buckwheat crop sheet cells D7 I7 J79 M20 M79 statically and traced their precedents,Workbook sheet '7' (Buckwheat),"D7 reports the low broadcast surface density as 53.619 seeds/m2 (from Seeding Assumptions column K) while J79 and M20 on the same sheet use 68.966 seeds/m2 (from column J)","Engine consistently follows the J/K/L/M crop-sheet convention and reproduces J79 = 4827.586 and M20 = 2.539385 exactly","7!D7 = 53.619302949061662; 7!J79 = 4827.5862068965507; 7!M20 = 2.5393851334047737",The workbook uses two different low-bound densities in two places on one sheet,REQUIRES_HUMAN_REVIEW,"The audited source document is internally inconsistent for crops whose seeding rate is supplied on a mass basis. The engine cannot match both conventions and has chosen one. Which convention the assessment intends is a scientific judgement, not a coding decision.","Refer to the assessment team. Record the workbook defect in the provenance register and state explicitly which convention the submission adopts."
AUD-032,Food ingestion rate small bird (FIR = a x BW^b),Independent Python evaluation of 0.398 x 20^0.85,"BW 20 g, Nagy 1987 Passerines",5.078770266809547 g dw/day,5.078770266809547,FIR Assumptions!F3 = 5.0787702668095474 (formula D3*(B3^E3)),Exact to 1 ulp,PASS,Small-bird intake is correct and workbook-sourced,None
AUD-033,Food ingestion rate medium bird,Independent Python evaluation of 0.398 x 100^0.85,"BW 100 g, Nagy 1987 Passerines",19.947251898365437,19.94725189836544,FIR Assumptions!F4 = 19.94725189836544,1 ulp,PASS,Medium-bird intake is correct,None
AUD-034,Food ingestion rate large bird,Independent Python evaluation of 0.648 x 1000^0.651,"BW 1000 g, Nagy 1987 All birds",58.15338588364852,58.15338588364852,FIR Assumptions!F5 = 58.153385883648525,Exact,PASS,Large-bird intake is correct; note the spec already records that this regression form is non-unique from one body weight,None
AUD-035,Food ingestion rate small mammal,Independent Python evaluation of 0.235 x 15^0.822,"BW 15 g, Nagy 1987 All eutherians",2.176781697501487,2.176781697501487,FIR Assumptions!F6 = 2.1767816975014869,Exact,PASS,Small-mammal intake is correct,None
AUD-036,Food ingestion rate medium mammal,Independent Python evaluation of 0.235 x 35^0.822,"BW 35 g, Nagy 1987 All eutherians",4.368092180028557,4.368092180028557,FIR Assumptions!F7 = 4.3680921800285555,1 ulp,PASS,Medium-mammal intake is correct,None
AUD-037,Food ingestion rate large mammal,Independent Python evaluation of 0.235 x 1000^0.822,"BW 1000 g, Nagy 1987 All eutherians",68.71758087931836,68.71758087931836,FIR Assumptions!F8 = 68.717580879318348,Exact,PASS,Large-mammal intake is correct,None
AUD-038,No dry-to-fresh mass conversion is applied to the Nagy regressions,Read the workbook FIR sheets and searched the R code for any moisture term,"FIR Assumptions!F3:F8 formula; FIR Bird/Mammal Regressions column H (Water Content %)","The workbook holds water-content data (9.3% seeds, 69% insects) but the FIR formula D*(B^E) does not reference column H",food_requirement() is a*BW^b and nothing else; no other function multiplies FIR by a moisture term,FIR Assumptions!F3 formula = D3*(B3^E3); column H unreferenced,Not applicable,PASS,"The specification's section 14 claim is substantiated: moisture data exists in the source and is deliberately not used, and the engine matches that.",None
AUD-039,Seeds required per day at a 100 percent diet (small bird),Independent Python arithmetic FIR / m_seed,FIR 5.078770 g dw/d and TKW 13 g,390.674636 seeds/day,390.674636 seeds/day,,Matches fixture BSC-CALC-010 to 6 decimals,PASS,Seed-count requirement is correct,None
AUD-040,Seeds required per day (medium bird on millet),Independent Python arithmetic,FIR 19.947252 g dw/d and TKW 6.5 g,3068.807984 seeds/day,3068.807984363914,,Matches fixture BSC-CALC-011,PASS,Correct for a small-seeded crop,None
AUD-041,Seeds required per day (large bird),Independent Python arithmetic,FIR 58.153386 g dw/d and TKW 13 g,4473.337376 seeds/day,4473.337375665272,,Matches fixture BSC-CALC-012,PASS,Correct for the largest intake,None
AUD-042,Seeds required per day scales linearly with dietary fraction,Independent Python arithmetic at p = 1.00 0.50 0.25 0.10,Barley small bird,204.789 / 102.395 / 51.197 / 20.479 seeds/day,Same values,,Exact,PASS,The percent-to-fraction handling of diet fraction is correct,None
AUD-043,Maximum search areas per receptor,Read the workbook MSA table statically and compared with the reference CSV,Further Risk Characterization!C11:D13 and H11:I13,"Small and medium bird 70/35 m2, large bird 140/70 m2, all mammals 70/35 m2",Same values in resolve_receptors() output,"C11:D13 = 70/35, 70/35, 140/70; H11:I13 = 70/35, 70/35, 70/35",Exact,PASS,MSA assumptions are transcribed correctly including the large-bird doubling,None
AUD-044,Surface-seed-only flag per receptor,Read the workbook flags statically,Further Risk Characterization!E11:E13 and J11:J13,Birds Y and all mammals N,"accessible_pool_basis = SURFACE_SEED_ONLY for birds, SURFACE_PLUS_BURIED for mammals","E11:E13 = Y; J11:J13 = N",Exact,PASS,ASSUMPTION-019 and ASSUMPTION-020 are implemented as stated and labelled in every output row,None
AUD-045,Estimated daily exposure concentration form (EDE = C x FIR / BW x p),Independent Python arithmetic,"Barley 300 mg a.i./kg seed, small bird, 100 percent diet",76.1815540021432 mg a.i./kg bw/day,76.1815540021432,BAM EDEs!F2 = 76.181554002143201 (formula EEC*FIR/BW),Exact to all stored digits,PASS,The central regulatory quantity reproduces the primary source exactly,None
AUD-046,Estimated daily exposure per-seed form equals the concentration form,Computed both forms independently for every audit scenario,All 15 audit scenarios,The two forms agree,Largest absolute difference 1.42e-14 on a value of 76.18,,Relative difference about 2e-16,PASS,Specification invariant 11 holds; the mg/g/kg factors in the two formulations are mutually consistent,None
AUD-047,EDE is invariant to the seed-mass bound at a mass-basis rate,Checked the workbook's own low/high seed-weight EDE columns then grouped all engine rows,"125280 time-course rows with unit mg a.i./kg seed",Every group differing only in seed_mass_bound has one distinct dose,All groups have identical dose across the two TKW cells,BAM EDEs!F2 = G2 = 76.181554002143201,Exact,PASS,Specification invariant 15 holds. This is why the AUD-027 seed-count issue cannot reach the dose or the RQ.,None
AUD-048,EDE medium bird at a 25 percent diet,Independent Python arithmetic,300 mg a.i./kg seed and FIR 19.947252 and BW 100 g,14.960438923774081,14.96043892377408,,Exact,PASS,Reproduces the spec section 9.1 worked example,None
AUD-049,EDE large bird at 200 mg a.i./kg seed and a 50 percent diet,Independent Python arithmetic,200 mg a.i./kg seed and FIR 58.153386 and BW 1000 g,5.815338588364853,5.815338588364853,BAM EDEs!J4 = 5.8153385883648525 (low app rate 100 mg/kg equivalent),Exact,PASS,Reproduces the spec section 9.1 worked example,None
AUD-050,Risk quotient against the acute screening metric,Independent Python arithmetic EDE / M,EDE 76.1815540021432 and M 43.1 mg a.i./kg bw/d,1.7675534571262923,1.767553457126292,,Exact; note fixture BSC-CALC-013 reports 1.767981 because it used a pre-rounded EDE of 76.2,PASS,Engine value is the exact one; the fixture value is a display-precision artefact,None
AUD-051,Risk quotient against the chronic screening metric,Independent Python arithmetic,EDE 76.1815540021432 and M 7.78,9.791973522126375,9.791973522126375,,Exact; fixture reports 9.794344 from the rounded EDE,PASS,Engine value is the exact one,None
AUD-052,RQ equals dose divided by the effects metric exactly for every row,Recomputed dose/metric in R and compared with identical() (bit-for-bit),125280 daily time-course rows across the small-cereals set,Exact equality required,identical() returned TRUE; maximum absolute difference exactly 0,,0,PASS,"The requirement 'exactly, not approximately' is met at full double precision",None
AUD-053,Dose over time equals EDE x 2^(-t / DT50_residue) exactly,Recomputed independently in R and compared with identical(),125280 rows,Exact equality,identical() returned TRUE,,0,PASS,No secondary process is silently applied to the dose,None
AUD-054,Duration above the acute screening metric,Independent Python arithmetic DT50 x log2(EDE/M),EDE 76.1815540021432 and M 43.1 and DT50 10 d,8.217538479426024 days,8.217538479426024,1!P285 = 8.2175384794260236 (formula LN(M/EDE)/(LN(0.5)/Diss_half_life)),Exact to all stored digits,PASS,Confirms the spec section 9.4 worked example against the primary source and confirms the two formulations are the same function,None
AUD-055,Duration above the metric for three further published cases,Independent Python arithmetic,"200 mg/kg chronic; 300 mg/kg 25 percent diet chronic; large bird 300 mg/kg chronic",27.066372 / 9.433104 / 11.650555 days,27.06637156211715 / 9.433104426997668 / 11.65055538159883,,Agree to 8 significant figures with fixtures BSC-CALC-023 025 026,PASS,The duration solution is correct across receptor sizes and dietary fractions,None
AUD-056,Duration above the metric is zero and never negative when EDE is at or below the metric,Independent reasoning plus direct test,Barley 300 mg/kg at a 10 percent diet against the chronic screen (RQ 0.979),0 days,0 days,,Exact,PASS,Specification invariant 13 holds,None
AUD-057,Threshold dietary fraction (p_threshold = M / EDE(p=1) x 100),Independent Python arithmetic,EDE at 100 percent diet 76.1815540021432 and M 7.78,10.212445915426098 percent,10.2124459154261 percent,,Matches fixture BSC-CALC-015 (10.21 percent),PASS,"Brackets the published narrative correctly (no exceedance at 10 percent, exceedance at 25 percent) and is not rounded across the threshold",None
AUD-058,Seeds required to reach an effects metric,Independent Python arithmetic M x (BW/1000) / D_seed,M 7.78 and BW 20 g and D_seed 0.00744 mg,20.913978494623656 seeds,20.91397849462366 seeds,,Exact,PASS,The g-to-kg body-weight factor is applied correctly,None
AUD-059,Effects metric values,Read the workbook's additional avian and mammalian metric tables statically and compared with the reference CSV,Further Risk Characterization!E18:E26 and K18:K26,"Birds 67 104 155 10.8 33.8 78; mammals 314 500 50 79 150",Same values carried through resolve_effects_metrics(),"E18=67 E19=104 E20=155 E24=10.8 E25=33.8 E26=78; K18=314 K19=500 K24=50 K25=79 K26=150",Exact,PASS,Effects metrics are transcribed correctly from the primary source,None
AUD-060,Screening and refined metrics are never mixed and a bird is never assessed against a mammalian metric,Cross-tabulated taxon against metric_role over a full crossed build and verified each row's metric value against effects_metrics.csv,384 crossed rows over all receptors and all metric roles,No row should have a taxon mismatch,Zero taxon mismatches; every row's effects_metric matches the stored value for its metric_id; metric_role is carried on every row,,Exact,PASS,"Specification section 9.3 is satisfied: one metric per quotient, roles kept explicitly separate",None
AUD-061,The clothianidin screening conversion is isolated from the refined chain,Repository-wide search for every call site of screening_clothianidin_equivalent and STBAM_CLOTHIANIDIN_MOLAR_RATIO,All R source in the repository,The function must not be reachable from the refined exposure chain,"Zero call sites in production code; the only other reference is one unit test. Not reachable from estimated_daily_exposure(), risk_quotient(), or any canonical dataset builder. effects_metrics.csv contains no clothianidin rows.",,Not applicable,PASS,"Specification section 9.7 is satisfied in its strongest form: the conversion is never applied at all in the current chain, so it cannot contaminate any dose or RQ.",None
AUD-062,Clothianidin molar ratio value,Independent arithmetic 249.68 / 291.7,Molar masses stated in ASSUMPTION-003,0.8559478917381557,0.8559478917381557,,"Spec 9.7 quotes 0.8560, a 4-figure rounding of the same number",PASS,The ratio is correct; the spec's quoted figure is a rounding not a discrepancy,None
AUD-063,Surface-seed disappearance and residue dissipation use separate half-lives in the source workbook,Scanned every formula on every sheet of the workbook for identifiers containing 'half',All 46 workbook sheets,Only two half-life identifiers should exist,Not applicable (source check),"Exactly two named ranges: Diss_half_life -> Further Risk Characterization!$E$4 = 10 d, and surface_seed_loss_half_life -> $J$4 = 14 d. No third, shared or hard-coded half-life anywhere.",Not applicable,PASS,The separation is genuine in the primary source and is not an invention of the model,None
AUD-064,The engine keeps the two half-lives separate,Code reading plus an override experiment,Overrode residue DT50 to 3 d and separately surface DT50 to 40 d,Each override should move only its own process,"Residue 3 d left surface at 14 d and vice versa; with residue DT50 3 d the dose at day 3 was exactly half the day-0 dose while surface seed at day 14 was exactly half its day-0 value",,Exact,PASS,Specification section 7 is satisfied; there is no hard-coded or accidentally shared DT50 in the code,None
AUD-065,Decay form 2^(-t/DT50) is identical to the workbook's EXP(t x LN(0.5)/DT50),Algebraic identity plus numeric comparison against cached workbook values,Barley low rate concentration decay days 1 and 2,93.30329915368074 and 87.055056329612412 from 100,first_order_remaining() gives 0.9330329915368074 and 0.87055056329612412,Dissipation Estimates!K2 = 93.30329915368074 and L2 = 87.055056329612412,Exact,PASS,The two formulations are the same function; no base-e / base-2 confusion,None
AUD-066,Combined surface loading is the product of the two processes,Computed the product independently and compared with the closed-form combined half-life,"S(0) 180 seeds/m2, D_seed 0.00744 mg, DT50 14 and 10 d",Product form at days 0 7 14 28,"surface_ai_mg_per_m2 is bit-identical to surface_seeds_per_m2 x ai_per_seed_mg over 125280 rows; agrees with the DT50_combined = 5.8333 d form to 8.88e-16",,8.9e-16,PASS,"Specification section 7.3 is satisfied: the two processes are multiplied, not averaged into one half-life, and both components are exposed separately",None
AUD-067,Surface seed density is non-increasing in time,Independent monotonicity check at 0.5-day resolution to 60 days and per-scenario across the canonical dataset,All scenarios with finite positive DT50,Monotone non-increasing,Monotone non-increasing everywhere; never increases,,Exact,PASS,Specification invariant 1 holds,None
AUD-068,Residue per seed is non-increasing in time,Same method,All scenarios with finite positive DT50,Monotone non-increasing,Monotone non-increasing everywhere; never increases,,Exact,PASS,Specification invariant 2 holds,None
