metric_id,active_ingredient,taxon,duration_class,metric_role,endpoint_description,endpoint_value,uncertainty_factor,effects_metric,unit,source,status
bird_acute_screening,thiamethoxam,bird,acute,SCREENING,Canary,431,10,43.1,mg a.i./kg bw/d,3251286,ASSESSMENT_DEFAULT
bird_chronic_screening,thiamethoxam,bird,chronic,SCREENING,Northern bobwhite NOEL for significant adverse effects to adult female body weight gain,7.78,1,7.78,mg a.i./kg bw/d,1178281,ASSESSMENT_DEFAULT
mammal_acute_screening,thiamethoxam,mammal,acute,SCREENING,"CD-1 mice, male",783,10,78.3,mg a.i./kg bw/d,2938509,ASSESSMENT_DEFAULT
mammal_chronic_refined,thiamethoxam,mammal,chronic,REFINED,Norway rat NOEL for significant effects on F2a and F2b body weight and body weight gain (dose based on parental female estimated daily dose - male value is 1.8),2.4,1,2.4,mg a.i./kg bw/d,2938509,ASSESSMENT_DEFAULT
mammal_chronic_screening,thiamethoxam,mammal,chronic,SCREENING,"Rat (Tif:RAlf) F2 female offspring NOEL for body weight and body-weight gain, expressed as a parental male daily-dose estimate",1.8,1,1.8,mg a.i./kg bw/d,Assessment Table 1 (PMRA#1178124); review register METRIC-004; reviewer-confirmed screening-stage value,ASSESSMENT_DEFAULT
bird_acute_additional_1,thiamethoxam,bird,acute,REFINED_ADDITIONAL,lowest dose with clinical signs of toxicity,67,1,67,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
bird_acute_additional_2,thiamethoxam,bird,acute,REFINED_ADDITIONAL,highest dose tested with no mortalities,104,1,104,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
bird_acute_additional_3,thiamethoxam,bird,acute,REFINED_ADDITIONAL,lowest dose with treatment related mortalities,155,1,155,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
bird_chronic_additional_1,thiamethoxam,bird,chronic,REFINED_ADDITIONAL,lowest dose with significant reproductive effects (mallard; viable embryos/fertile eggs 3%),10.8,1,10.8,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
bird_chronic_additional_2,thiamethoxam,bird,chronic,REFINED_ADDITIONAL,"mallard hatchling bw 3%, viable embryos/fertile eggs 3.8%",33.8,1,33.8,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
bird_chronic_additional_3,thiamethoxam,bird,chronic,REFINED_ADDITIONAL,"bobwhite eggs laid/pen 14-18%, parent female bw 7.1%",78,1,78,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
mammal_acute_additional_1,thiamethoxam,mammal,acute,REFINED_ADDITIONAL,highest acute exposure level with no mortality or signs of toxicity,314,1,314,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
mammal_acute_additional_2,thiamethoxam,mammal,acute,REFINED_ADDITIONAL,lowest dose with clinical signs of toxicity and mortality,500,1,500,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
mammal_chronic_additional_1,thiamethoxam,mammal,chronic,REFINED_ADDITIONAL,highest daily dose with no apparent treatment related effects,50,1,50,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
mammal_chronic_additional_2,thiamethoxam,mammal,chronic,REFINED_ADDITIONAL,"highest dose with no apparent effects on survival, reproduction or offspring growth",79,1,79,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
mammal_chronic_additional_3,thiamethoxam,mammal,chronic,REFINED_ADDITIONAL,lowest dose with treatment related mortalities,150,1,150,mg a.i./kg bw/d,Workbook 'Further Risk Characterization' additional effects metrics,ASSESSMENT_DEFAULT
